Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
Misbah-ul-Haq,RCB,8,117,16.71,0,,Batsman
A Mishra,"DDV, DCH, SUN, LSG",161,381,11.91,173,23.87,Bowler
M D  Mishra,"DCH, PWI",18,237,14.81,0,,Bowler
T Mishra,DCH,1,0,,0,,Batsman
D J Mitchell,RRO,2,33,16.5,0,,Batsman
A Mithun,RCB,16,34,6.8,7,67.43,Bowler
Mohammad Ashraful,MIN,1,2,2.0,0,,Bowler
Mohammad Asif,DDV,8,3,1.5,8,37.0,Bowler
Mohammad Hafeez,KKR,8,64,9.14,2,34.0,Bowler
Mohammad Nabi,SUN,17,180,15.0,13,31.38,Bowler
Mohammed Shami,"KKR, DDV, KXI, GTI",110,74,5.69,127,26.87,Bowler
Mohammed Siraj,"SUN, RCB",79,97,12.13,78,29.82,Bowler
Mohsin Khan,LSG,14,23,11.5,17,17.88,Bowler
Monu Kumar,CSK,1,0,,0,,Batsman
R G  More,CSK,2,2,,1,59.0,Batsman
E J G Morgan,"RCB, KKR, SUN, KXI",83,1405,22.66,0,,Batsman
J A Morkel,"CSK, RCB, DDV, RPS",91,974,24.35,85,27.75,Bowler
M Morkel,"RRO, DDV, KKR",70,126,11.45,77,27.13,Bowler
C H Morris,"CSK, RRO, DDV, RCB",81,618,22.07,95,24.16,Bowler
W A  Mota,KXI,12,56,9.33,4,24.25,Bowler
Mujeeb Ur Rahman,"KXI, SUN",19,12,4.0,19,31.16,Bowler
Mukesh Choudhary,CSK,13,6,6.0,16,26.5,Bowler
A Mukund,"CSK, RCB",3,19,9.5,0,,Bowler
S S Mundhe,PWI,1,0,,1,6.0,Batsman
C Munro,"KKR, DDV",13,177,14.75,0,,Bowler
M Muralitharan,"CSK, KTK, RCB",66,20,3.33,63,26.75,Bowler
A G  Murtaza,"MIN, PWI",12,10,10.0,9,34.78,Bowler
Mustafizur Rahman,"SUN, MIN, RRO, DDV",48,13,13.0,47,30.72,Bowler
D J Muthuswami,DDV,6,1,1.0,4,25.25,Bowler
S Nadeem,"DDV, SUN",72,39,2.79,48,37.17,Bowler
Y  Nagar,DDV,26,285,20.36,4,31.25,Batsman
K L Nagarkoti,"KKR, DDV",12,22,5.5,5,57.0,Bowler
N S Naik,"KXI, KKR",4,31,7.75,0,,Bowler
K K Nair,"RCB, RRO, DDV, KXI",76,1496,23.75,0,,Batsman
D G Nalkande,GTI,3,0,0.0,3,34.33,Bowler
C  Nanda,MIN,3,0,0.0,2,28.5,Bowler
